Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Column1
170,Yashpal Singh,29917,Right_Hand,Right-arm medium,India,0,
171,M Manhas,29140,Right_Hand,Right-arm offbreak,India,0,
172,AA Bilakhia,31563,Right_Hand,Right-arm medium,India,0,
173,AN Ghosh,31704,Right_Hand,Right-arm medium,India,0,
174,BAW Mendis,31117,Right_Hand,Right-arm offbreak,Sri Lanka,0,
175,DL Vettori,28882,Left_Hand,Slow left-arm orthodox,New Zealand,0,
176,MN van Wyk,28934,Right_Hand,Slow left-arm orthodox,South Africa,0,
177,RE van der Merwe,31047,Right_Hand,Slow left-arm orthodox,South Africa,0,
178,TL Suman,30665,Right_Hand,Right-arm offbreak,India,0,
179,Shoaib Ahmed,33102,Right_Hand,Right-arm fast-medium,Pakistan,0,
180,GR Napier,29226,Right_Hand,Right-arm medium,England,0,
181,KP Appanna,32497,Right_Hand,Slow left-arm orthodox,India,0,
182,LA Carseldine,27715,Left_Hand,Left-arm medium,Australia,0,
183,NV Ojha,30517,Right_Hand,NULL,India,0,
184,SM Harwood,27089,Right_Hand,Right-arm fast-medium,Australia,0,
185,M Vijay,30773,Right_Hand,Right-arm offbreak,India,0,
186,SB Jakati,29552,Left_Hand,Slow left-arm orthodox,India,0,
187,DA Warner,31712,Left_Hand,Legbreak,Australia,0,
188,RJ Harris,29139,Right_Hand,Right-arm fast,Australia,0,
189,D du Preez,29898,Right_Hand,Right-arm fast-medium,South Africa,0,
190,M Morkel,30961,Left_Hand,Right-arm fast,South Africa,0,
191,AD Mathews,31930,Right_Hand,Right-arm fast-medium,Sri Lanka,0,
192,J Botha,30073,Right_Hand,Right-arm offbreak,South Africa,0,
193,C Nanda,28943,Right_Hand,Legbreak,India,0,
194,SL Malinga,30556,Right_Hand,Right-arm fast,Sri Lanka,0,
195,Mashrafe Mortaza,30594,Right_Hand,Right-arm fast-medium,Bangladesh,0,
196,A Singh,29758,Right_Hand,Right-arm medium-fast,India,0,
197,GJ Bailey,30201,Right_Hand,Right-arm medium,Australia,0,
198,AB McDonald,29742,Right_Hand,Right-arm fast-medium,Australia,0,
199,Y Nagar,32879,Right_Hand,Right-arm offbreak,India,0,
200,SS Shaikh,31795,Right_Hand,Right-arm medium,India,0,
201,R Ashwin,31672,Right_Hand,Right-arm offbreak,India,0,
202,Mohammad Ashraful,30870,Right_Hand,Right-arm offbreak,Bangladesh,0,
203,CA Pujara,32167,Right_Hand,Legbreak,India,0,
204,OA Shah,28785,Right_Hand,Right-arm offbreak,England,0,
205,Anirudh Singh,29435,Left_Hand,Right-arm medium,India,0,
206,Jaskaran Singh,32755,Right_Hand,Right-arm medium,India,0,
207,AP Tare,32088,Right_Hand,NULL,India,0,
208,AT Rayudu,31313,Right_Hand,Right-arm offbreak,India,0,
209,R Sathish,29600,Right_Hand,Right-arm medium,India,0,
210,R McLaren,30356,Left_Hand,Right-arm medium-fast,South Africa,0,
211,AA Jhunjhunwala,30286,Right_Hand,Right-arm offbreak,India,0,
212,P Dogra,31005,Right_Hand,Legbreak,India,0,
213,A Uniyal,29911,Left_Hand,Left-arm medium,India,0,
214,MS Bisla,31043,Right_Hand,NULL,India,0,
215,YA Abdulla,30333,Left_Hand,Left-arm fast-medium,India,0,
216,EJG Morgan,31665,Left_Hand,Right-arm medium,England,0,
217,JM Kemp,28400,Right_Hand,Right-arm fast-medium,South Africa,0,
218,S Tyagi,32037,Right_Hand,Right-arm medium,India,0,
219,RS Gavaskar,27810,Left_Hand,Slow left-arm orthodox,India,0,
220,SE Bond,27552,Right_Hand,Right-arm fast,New Zealand,0,
221,KA Pollard,31909,Right_Hand,Right-arm medium-fast,West Indies,0,
222,S Ladda,31603,Right_Hand,Legbreak,India,0,
223,DP Nannes,27896,Right_Hand,Left-arm fast,Australia,0,
224,MJ Lumb,29263,Left_Hand,Right-arm medium,England,0,
225,DR Martyn,26227,Right_Hand,Right-arm medium,Australia,0,
226,S Narwal,30057,Left_Hand,Right-arm medium,India,0,
227,AB Barath,32977,Right_Hand,Right-arm offbreak,India,0,
228,Bipul Sharma,30587,Left_Hand,Slow left-arm orthodox,India,0,
229,FY Fazal,31297,Left_Hand,Right-arm medium,India,0,
230,AC Voges,29132,Right_Hand,Slow left-arm orthodox,Australia,0,
231,MD Mishra,30721,Right_Hand,Right-arm offbreak,India,0,
232,UT Yadav,32075,Right_Hand,Right-arm fast-medium,India,0,
233,J Theron,31252,Right_Hand,Right-arm medium-fast,South Africa,0,
234,SJ Srivastava,29851,Right_Hand,Left-arm fast-medium,India,0,
235,R Sharma,31897,Right_Hand,Right-arm offbreak,India,0,
236,Mandeep Singh,33590,Right_Hand,Right-arm medium,India,0,
237,KM Jadhav,31132,Right_Hand,Right-arm offbreak,India,0,
238,SW Tait,30369,Right_Hand,Right-arm fast,Australia,0,
239,KB Arun Karthik,31458,Right_Hand,Legbreak googly,India,0,
240,KAJ Roach,32324,Right_Hand,Right-arm fast,West Indies,0,
241,PD Collingwood,27906,Right_Hand,Right-arm medium,England,0,
242,CK Langeveldt,27380,Right_Hand,Right-arm fast-medium,England,0,
243,VS Malik,30445,Right_Hand,Right-arm medium,India,0,
244,A Mithun,32806,Right_Hand,Right-arm medium,India,0,
245,AP Dole,32059,Right_Hand,Right-arm medium-fast,India,0,
246,AN Ahmed,32452,Right_Hand,Right-arm medium-fast,India,0,
247,RS Sodhi,29512,Right_Hand,Right-arm medium,India,0,
248,DE Bollinger,29791,Left_Hand,Left-arm fast-medium,Australia,0,
249,S Sriram,27811,Left_Hand,Slow left-arm orthodox,India,0,
250,B Sumanth,32273,Right_Hand,Right-arm medium-fast,India,0,
251,C Madan,30239,Right_Hand,NULL,India,0,
252,AG Paunikar,32251,Right_Hand,NULL,India,0,
253,MR Marsh,33531,Right_Hand,Right-arm medium,Australia,0,
254,AJ Finch,31733,Right_Hand,Slow left-arm orthodox,Australia,0,
255,STR Binny,30836,Right_Hand,Right-arm medium,India,0,
256,Harmeet Singh,33854,Left_Hand,Slow left-arm orthodox,India,0,
257,IR Jaggi,32535,Right_Hand,Legbreak googly,India,0,
258,DT Christian,30440,Right_Hand,Right-arm fast-medium,Australia,0,
259,RV Gomez,31336,Right_Hand,Right-arm medium,India,0,
260,MA Agarwal,33285,Right_Hand,NULL,India,0,
